CalfID,SingleTwinST,CrossbredYN,Time,IgG,SexMF,BirthWtLbs,CalfSizeLgSm,D0Fed2TxGrp,Result0hrgL
1,S,Y,8hr,35.03,F,96.4,LG,MCB,0
1,S,Y,24hr,41.14,F,96.4,LG,MCB,0
2,S,Y,8hr,37.05,F,96.6,LG,CSB,0
2,S,Y,24hr,45.06,F,96.6,LG,CSB,0
3,S,Y,8hr,33.07,M,93,LG,CST,0
3,S,Y,24hr,33.99,M,93,LG,CST,0
4,S,Y,8hr,34.04,M,99.4,LG,CSB,0
4,S,Y,24hr,39.13,M,99.4,LG,CSB,0
5,S,Y,8hr,32.1,M,73.2,SM,MCT,0
5,S,Y,24hr,42.63,M,73.2,SM,MCT,0
6,S,Y,8hr,35.03,F,101.6,LG,MCT,0
6,S,Y,24hr,36.01,F,101.6,LG,MCT,0
7,S,Y,8hr,18.24,M,103.8,LG,CST,0
7,S,Y,24hr,34.04,M,103.8,LG,CST,0
8,S,Y,8hr,21.42,M,67,SM,MCB,0
8,S,Y,24hr,33.99,M,67,SM,MCB,0
9,S,N,8hr,31.15,M,60,SM,MRB,0
9,S,N,24hr,39.39,M,60,SM,MRB,0
10,S,Y,8hr,38.14,F,91,LG,MRB,0
10,S,Y,24hr,37.29,F,91,LG,MRB,0
11,S,Y,8hr,28.22,M,101.6,LG,MCB,0
11,S,Y,24hr,47.11,M,101.6,LG,MCB,0
12,S,Y,8hr,37.09,F,81,LG,CSB,0
12,S,Y,24hr,23.94,F,81,LG,CSB,0
13,S,Y,8hr,37.09,F,84.4,LG,MCT,0
13,S,Y,24hr,34.23,F,84.4,LG,MCT,0
14,S,Y,8hr,30.11,M,86.4,LG,MCT,0
14,S,Y,24hr,31.28,M,86.4,LG,MCT,0
15,S,Y,8hr,19.5,M,73.4,SM,CST,0
15,S,Y,24hr,36.26,M,73.4,SM,CST,0
16,S,Y,8hr,34.03,M,110.4,LG,CSB,0
16,S,Y,24hr,37.05,M,110.4,LG,CSB,0
17,S,Y,8hr,27.29,F,81.2,LG,MRB,0
17,S,Y,24hr,39.39,F,81.2,LG,MRB,0
18,S,Y,8hr,34.03,F,77.8,SM,CST,0
18,S,Y,24hr,36.26,F,77.8,SM,CST,0
19,S,Y,8hr,33.03,M,84.2,LG,MCB,0
19,S,Y,24hr,47.11,M,84.2,LG,MCB,0
