CalfID,Birthdate,BirthTime,SingleTwinST,CrossbredYN,SexMF,BirthWtLbs,CalfSizeLgSm,Fed1VolL,0hrbloodYN,IceCubeNumber,IceCubeOnTime,D0Fed1Time,DOFed1MinOld,D0Fed13or4qt,D0Fed1Batchnum,D0Fed1Bagnum,F1ColostIgGgL,F1DoseIgGfedg,F1Coliform,F1LogColif,F1SPC,F1LogSPC,F1Brixpct,Feed1or2,F1VatorMatilda,D0Fed2TxGrp,8hrbloodYN,D0Fed2Time,DOFed2HrsOld,DOFed12IntervHrs,DOFed2VolOfferedmL,D0Fed2VolRefusemL,DOFed2VolConsummL,D0Fed2Batchnum,D0Fed2Bagnum,F2ColostIgGgL,F2DoseIgGfedg,F1F2TotIgGconsumg,F2Coliform,F2LogColif,F2SPC,F2LogSPC,F2Brixpct,F2Feed1or2,F2VatorMatilda,D1MilkRefusemL,24hrbloodYN,CalfIDDup,Result0hrgL,Result8hrmgdl,Result8hrgL,Result24hrmgdl,Result24hrgL,24hrbloodTime,FarmDzYN,FarmDzDate,FarmDzDiagnosis,DiedYN,DiedDate,IceCubeOffDate,IceCubeOffTime,DoubleCheckIceCube#,removeyn
112,6/3/2024,13:15,T,Y,M,89.4,LG,3.80,Y,61371956,13:44,13:40,0:25,4,3,3,81.9,311.2,0,0,50,1.69897,25.1,1,Vat,MCB,Y,21:40,8:25,8:00,1900,600,1300,2,2,64.4,83.7,394.9,0,0,215,2.33244,20.6,2,Matilda,200,Y,112,0,2309,23.09,3503,35.03,12:45,Y,6/4/2024,Diarrhea,N,NA,6/6/2024,9:37,Y,0
125,6/3/2024,10:30,S,Y,M,91.6,LG,3.80,Y,61371964,10:56,11:40,1:10,4,1,1,75.9,288.4,0,0,5000,3.69897,26.9,1,Vat,MRB,Y,20:00,9:30,8:20,1900,1700,200,NA,NA,0.0,0.0,288.4,,,,,,,,200,Y,125,0,2836,28.36,4127,41.27,12:40,Y,6/4/2024,Diarrhea,N,NA,6/6/2024,9:37,Y,0
104,6/5/2024,12:34,S,Y,M,104.8,LG,3.80,Y,61371965,13:09,13:03,0:29,4,3,5,81.9,311.2,0,0,50,1.69897,25.1,1,Vat,CSB,Y,21:05,8:31,8:02,1000,900,100,NA,NA,100.0,10.0,321.2,,,,,,,,0,Y,104,0,2836,28.36,3404,34.04,9:45,Y,6/6/2024,Inappetance,N,NA,6/8/2024,9:08,Y,0
124,6/5/2024,14:00,S,Y,M,90,LG,3.80,Y,61371966,14:50,14:45,0:45,4,3,MATILDA,84.7,321.9,0,0,900,2.95424,24.6,1,Matilda,CST,Y,22:45,8:45,8:00,1000,0,1000,NA,NA,100.0,100.0,421.9,,,,,,,,0,Y,124,0,3807,38.07,3220,32.2,9:50,N,,,N,NA,6/8/2024,9:13,Y,0
123,6/6/2024,12:44,S,Y,F,86,LG,3.80,Y,61371971,13:37,13:30,0:46,4,1,3,75.9,288.4,0,0,5000,3.69897,26.9,1,Vat,MCT,Y,21:35,8:51,8:05,1900,0,1900,3,5,52.6,99.9,388.4,0,0,900,2.95424,19.5,2,Matilda,0,Y,123,0,3807,38.07,4345,43.45,11:16,N,,,N,NA,6/9/2024,8:55,Y,0
122,6/6/2024,8:23,T,Y,M,84.2,LG,3.80,Y,61371963,9:15,9:00,0:37,4,3,4,81.9,311.2,0,0,50,1.69897,25.1,1,Vat,MCT,Y,17:10,8:47,8:10,1900,0,1900,2,3,64.4,122.4,433.6,0,0,215,2.33244,20.6,2,Matilda,1000,Y,122,0,3807,38.07,4682,46.82,11:14,N,,,N,NA,6/9/2024,8:52,Y,0
120,6/10/2024,7:00,T,Y,M,77.8,SM,2.85,Y,61371949,8:01,8:00,1:00,3,5,1,74.6,212.6,0,0,1600,3.20412,25.9,1,Vat,CSB,Y,16:02,9:02,8:02,1000,0,1000,NA,NA,100.0,100.0,312.6,,,,,,,,0,Y,120,0,2745,27.45,3499,34.99,7:30,N,,,N,NA,6/13/2024,10:01,Y,0
118,6/10/2024,9:30,S,Y,F,92.8,LG,3.80,Y,61371967,10:26,10:25,0:55,4,6,MATILDA,74.3,282.3,0,0,530,2.72428,24.3,1,Matilda,CST,Y,18:28,8:58,8:03,1000,0,1000,NA,NA,100.0,100.0,382.3,,,,,,,,0,Y,118,0,4121,41.21,4229,42.29,10:50,N,,,N,NA,6/13/2024,10:04,Y,0
11269,6/10/2024,12:20,S,Y,F,63.2,SM,2.85,Y,61371957,12:57,12:55,0:35,3,6,5,70.1,199.8,0,0,840,2.92428,24.7,1,Vat,MCB,Y,20:58,8:38,8:03,1900,1700,200,4,1,55.1,11.0,210.8,0,0,900,2.95424,20.3,2,Matilda,500,Y,11269,0,3210,32.1,3009,30.09,13:34,N,,,N,NA,6/13/2024,10:00,Y,0
121,6/10/2024,6:50,T,Y,F,73.1,SM,2.85,Y,61371951,8:08,8:07,1:17,3,5,3,74.6,212.6,0,0,1600,3.20412,25.9,1,Vat,MCB,Y,16:25,9:35,8:18,1900,0,1900,3,6,52.6,99.9,312.6,0,0,900,2.95424,19.5,2,Matilda,400,Y,121,0,3307,33.07,4682,46.82,7:35,N,,,N,NA,6/13/2024,10:02,Y,0
117,6/10/2024,9:40,S,Y,F,83.8,LG,3.80,Y,61371948,11:03,11:02,1:22,4,3,2,81.9,311.2,0,0,50,1.69897,25.1,1,Vat,MRB,Y,19:02,9:22,8:00,1900,800,1100,NA,NA,0.0,0.0,311.2,,,,,,,,0,Y,117,0,3307,33.07,3911,39.11,11:05,N,,,N,NA,6/13/2024,10:04,Y,0
119,6/10/2024,8:15,S,Y,M,103.4,LG,3.80,Y,61371955,9:17,9:15,1:00,4,3,1,81.9,311.2,0,0,50,1.69897,25.1,1,Vat,MRB,Y,17:17,9:02,8:02,1900,500,1400,NA,NA,0.0,0.0,311.2,,,,,,,,1100,Y,119,0,2927,29.27,4337,43.37,9:25,N,,,N,NA,6/13/2024,10:03,Y,0
