CalfID,Birthdate,BirthTime,SingleTwinST,CrossbredYN,SexMF,BirthWtLbs,CalfSizeLgSm,0hrbloodYN,IceCubeNumber,IceCubeOnTime,D0Fed1Time,DOFed1MinOld,D0Fed13or4qt,D0Fed1Batchnum,D0Fed1Bagnum,F1Coliform,F1LogColif,F1SPC,F1LogSPC,F1Brixpct,Feed1or2,F1VatorMatilda,D0Fed2TxGrp,8hrbloodYN,D0Fed2Time,DOFed2HrsOld,DOFed12IntervHrs,D0Fed2Batchnum,D0Fed2Bagnum,F2Coliform,F2LogColif,F2SPC,F2LogSPC,F2Brixpct,F2Feed1or2,F2VatorMatilda,D0Fed2VolRefusemL,D1MilkRefusemL,24hrbloodYN,CalfIDDup,Result0hrgL,Result8hrmgdl,Result8hrgL,Result24hrmgdl,Result24hrgL,24hrbloodTime,FarmDzYN,FarmDzDate,FarmDzDiagnosis,DiedYN,DiedDate,IceCubeOffDate,IceCubeOffTime,DoubleCheckIceCube#
11413,8/2/2024,6:45,S,N,F,76.2,SM,Y,61371965,7:17,7:38,0:53,3,27,6,0,0,440,2.64345,25.8,1,Vat,CST,Y,15:45,9:00,8:07,NA,NA,,,,,,,,0,0,Y,11413,0,3307,33.07,3913,39.13,12:55,N,,,N,NA,8/5/2024,7:00,Y
100,6/19/2024,7:02,S,N,M,78.6,SM,Y,61371964,7:55,7:54,0:52,3,6,1,0,0,840,2.92428,24.7,1,Vat,CST,Y,16:10,9:08,8:16,NA,NA,,,,,,,,0,0,Y,100,0,3399,33.99,4337,43.37,7:50,N,,,N,NA,6/22/2024,9:34,Y
9,8/2/2024,7:40,S,N,M,60,SM,Y,61371967,8:35,8:45,1:05,3,27,4,0,0,440,2.64345,25.8,1,Vat,MRB,Y,16:45,9:05,8:00,NA,NA,,,,,,,,300,1600,Y,9,0,3115,31.15,3939,39.39,9:18,Y,8/3/2024,"DIARRHEA, LOW TEMP, LETHARGIC ",N,NA,8/5/2024,7:02,Y
69,7/8/2024,8:20,S,N,M,98.8,LG,Y,61371957,9:30,9:28,1:08,4,13,4,0,0,110,2.04139,25.7,1,Vat,CST,Y,17:30,9:10,8:02,NA,NA,,,,,,,,0,1000,Y,69,0,3807,38.07,4114,41.14,9:30,Y,7/9/2024,Diarrhea,N,NA,7/11/2024,11:16,Y
11289,6/19/2024,8:59,S,N,F,65.6,SM,Y,61371971,9:35,9:32,0:33,3,6,2,0,0,840,2.92428,24.7,1,Vat,MCB,Y,17:34,8:35,8:02,8,1,0,0,750,2.87506,20.9,2,Matilda,550,1700,Y,11289,0,3601,36.01,3601,36.01,12:54,N,,,N,NA,6/22/2024,9:26,Y
11290,6/20/2024,9:20,S,N,F,82,LG,Y,61371966,10:40,10:39,1:19,4,4,5,0,0,850,2.92942,24.4,1,Vat,CSB,Y,18:36,9:16,7:57,NA,NA,,,,,,,,0,0,Y,11290,0,3009,30.09,3704,37.04,22:40,N,,,N,NA,6/23/2024,9:39,Y
11339,7/10/2024,9:36,S,N,F,64.6,SM,Y,61371960,10:57,10:54,1:18,3,8,5,210,2.32222,1300,3.11394,25.5,1,Vat,CST,Y,18:55,9:19,8:01,NA,NA,,,,,,,,0,0,Y,11339,0,3032,30.32,3704,37.04,11:05,Y,7/11/2024,Diarrhea,N,NA,7/13/2024,9:15,Y
11358,7/15/2024,9:55,S,N,F,75.6,SM,Y,61371959,10:35,10:50,0:55,3,18,5,0,0,115,2.0607,26.1,1,Vat,CSB,Y,18:56,9:01,8:06,NA,NA,,,,,,,,800,0,Y,11358,0,3324,33.24,3201,32.01,10:58,N,,,N,NA,7/18/2024,10:28,Y
11414,8/2/2024,10:00,S,N,F,73.8,SM,Y,61371966,10:44,11:00,1:00,3,27,3,0,0,440,2.64345,25.8,1,Vat,CSB,Y,19:00,9:00,8:00,NA,NA,,,,,,,,0,0,Y,11414,0,3404,34.04,4456,44.56,10:52,N,,,N,NA,8/5/2024,6:57,Y
11305,6/26/2024,9:45,S,N,F,101.4,LG,Y,61371971,11:01,11:00,1:15,4,10,4,0,0,3300,3.51851,24.9,1,Vat,MCT,Y,19:02,9:17,8:02,6,2,0,0,600,2.77815,20.7,2,Matilda,0,0,Y,11305,0,3105,31.05,3321,33.21,11:05,N,,,N,NA,6/29/2024,8:53,Y
