CalfID,Birthdate,BirthTime,SingleTwinST,CrossbredYN,SexMF,BirthWtLbs,CalfSizeLgSm,D0Fed2Time,Time Fed,Date Fed,Time Fed,BdatTime,F2datTime,F3datTime,BtoM,HrsBtoMilk,FtoM,HrsF2toMilk
1,8/7/2024,10:08,S,Y,F,96.4,LG,18:55,7:00AM,8/8/2024,7:00,8/7/2024 10:08,8/7/2024 18:55,8/8/2024 7:00,0.869444444,20.86666667,0.503472222,12.08333333
2,8/7/2024,9:00,S,Y,F,96.6,LG,17:43,7:00AM,8/8/2024,7:00,8/7/2024 9:00,8/7/2024 17:43,8/8/2024 7:00,0.916666667,22,0.553472222,13.28333333
3,8/6/2024,13:35,S,Y,M,93,LG,22:00,7:00AM,8/7/2024,7:00,8/6/2024 13:35,8/6/2024 22:00,8/7/2024 7:00,0.725694444,17.41666667,0.375,9
4,8/5/2024,12:29,S,Y,M,99.4,LG,21:20,7:00AM,8/6/2024,7:00,8/5/2024 12:29,8/5/2024 21:20,8/6/2024 7:00,0.771527778,18.51666667,0.402777778,9.666666667
5,8/5/2024,11:10,S,Y,M,73.2,SM,20:20,7:00AM,8/6/2024,7:00,8/5/2024 11:10,8/5/2024 20:20,8/6/2024 7:00,0.826388889,19.83333333,0.444444444,10.66666667
6,8/5/2024,8:15,S,Y,F,101.6,LG,17:01,7:00AM,8/6/2024,7:00,8/5/2024 8:15,8/5/2024 17:01,8/6/2024 7:00,0.947916667,22.75,0.582638889,13.98333333
7,8/2/2024,10:10,S,Y,M,103.8,LG,19:07,7:00AM,8/3/2024,7:00,8/2/2024 10:10,8/2/2024 19:07,8/3/2024 7:00,0.868055556,20.83333333,0.495138889,11.88333333
8,8/2/2024,9:20,S,Y,M,67,SM,18:30,7:00AM,8/3/2024,7:00,8/2/2024 9:20,8/2/2024 18:30,8/3/2024 7:00,0.902777778,21.66666667,0.520833333,12.5
9,8/2/2024,7:40,S,N,M,60,SM,16:45,7:00AM,8/3/2024,7:00,8/2/2024 7:40,8/2/2024 16:45,8/3/2024 7:00,0.972222222,23.33333333,0.59375,14.25
10,8/1/2024,11:50,S,Y,F,91,LG,20:55,7:00AM,8/2/2024,7:00,8/1/2024 11:50,8/1/2024 20:55,8/2/2024 7:00,0.798611111,19.16666667,0.420138889,10.08333333
11,7/31/2024,12:35,S,Y,M,101.6,LG,21:10,7:00AM,8/1/2024,7:00,7/31/2024 12:35,7/31/2024 21:10,8/1/2024 7:00,0.767361111,18.41666667,0.409722222,9.833333333
12,7/31/2024,11:15,S,Y,F,81,LG,19:54,7:00AM,8/1/2024,7:00,7/31/2024 11:15,7/31/2024 19:54,8/1/2024 7:00,0.822916667,19.75,0.4625,11.1
13,7/31/2024,11:10,S,Y,F,84.4,LG,19:36,7:00AM,8/1/2024,7:00,7/31/2024 11:10,7/31/2024 19:36,8/1/2024 7:00,0.826388889,19.83333333,0.475,11.4
14,7/31/2024,10:20,S,Y,M,86.4,LG,18:50,7:00AM,8/1/2024,7:00,7/31/2024 10:20,7/31/2024 18:50,8/1/2024 7:00,0.861111111,20.66666667,0.506944444,12.16666667
15,7/31/2024,9:40,S,Y,M,73.4,SM,18:30,7:00AM,8/1/2024,7:00,7/31/2024 9:40,7/31/2024 18:30,8/1/2024 7:00,0.888888889,21.33333333,0.520833333,12.5
16,7/31/2024,8:50,S,Y,M,110.4,LG,17:32,7:00AM,8/1/2024,7:00,7/31/2024 8:50,7/31/2024 17:32,8/1/2024 7:00,0.923611111,22.16666667,0.561111111,13.46666667
17,7/30/2024,9:10,S,Y,F,81.2,LG,17:45,7:00AM,7/31/2024,7:00,7/30/2024 9:10,7/30/2024 17:45,7/31/2024 7:00,0.909722222,21.83333333,0.552083333,13.25
18,7/30/2024,8:55,S,Y,F,77.8,SM,17:26,7:00AM,7/31/2024,7:00,7/30/2024 8:55,7/30/2024 17:26,7/31/2024 7:00,0.920138889,22.08333333,0.565277778,13.56666667
19,7/29/2024,13:19,S,Y,M,84.2,LG,22:05,7:00AM,7/30/2024,7:00,7/29/2024 13:19,7/29/2024 22:05,7/30/2024 7:00,0.736805556,17.68333333,0.371527778,8.916666667
20,7/29/2024,12:40,S,Y,F,80.2,LG,21:32,7:00AM,7/30/2024,7:00,7/29/2024 12:40,7/29/2024 21:32,7/30/2024 7:00,0.763888889,18.33333333,0.394444444,9.466666667
21,7/29/2024,12:25,S,Y,M,91.2,LG,21:18,7:00AM,7/30/2024,7:00,7/29/2024 12:25,7/29/2024 21:18,7/30/2024 7:00,0.774305556,18.58333333,0.404166667,9.7
22,7/29/2024,10:05,T,Y,M,84.2,LG,18:58,7:00AM,7/30/2024,7:00,7/29/2024 10:05,7/29/2024 18:58,7/30/2024 7:00,0.871527778,20.91666667,0.501388889,12.03333333
23,7/29/2024,10:05,T,Y,M,79.8,SM,19:01,7:00AM,7/30/2024,7:00,7/29/2024 10:05,7/29/2024 19:01,7/30/2024 7:00,0.871527778,20.91666667,0.499305556,11.98333333
24,7/29/2024,8:00,S,Y,F,84.2,LG,17:30,7:00AM,7/30/2024,7:00,7/29/2024 8:00,7/29/2024 17:30,7/30/2024 7:00,0.958333333,23,0.5625,13.5
25,7/29/2024,7:19,S,Y,F,88.6,LG,16:45,7:00AM,7/30/2024,7:00,7/29/2024 7:19,7/29/2024 16:45,7/30/2024 7:00,0.986805556,23.68333333,0.59375,14.25
26,7/25/2024,11:50,S,Y,M,92,LG,21:00,7:00AM,7/26/2024,7:00,7/25/2024 11:50,7/25/2024 21:00,7/26/2024 7:00,0.798611111,19.16666667,0.416666667,10
27,7/25/2024,11:45,S,Y,F,105.5,LG,20:35,7:00AM,7/26/2024,7:00,7/25/2024 11:45,7/25/2024 20:35,7/26/2024 7:00,0.802083333,19.25,0.434027778,10.41666667
28,7/25/2024,8:35,S,Y,F,97.6,LG,17:33,7:00AM,7/26/2024,7:00,7/25/2024 8:35,7/25/2024 17:33,7/26/2024 7:00,0.934027778,22.41666667,0.560416667,13.45
29,7/25/2024,7:26,S,Y,F,91.6,LG,16:28,7:00AM,7/26/2024,7:00,7/25/2024 7:26,7/25/2024 16:28,7/26/2024 7:00,0.981944444,23.56666667,0.605555556,14.53333333
30,7/25/2024,6:20,S,Y,M,60.6,SM,15:15,7:00AM,7/26/2024,7:00,7/25/2024 6:20,7/25/2024 15:15,7/26/2024 7:00,1.027777778,24.66666667,0.65625,15.75
31,7/25/2024,5:55,S,Y,M,111.4,LG,14:52,7:00AM,7/26/2024,7:00,7/25/2024 5:55,7/25/2024 14:52,7/26/2024 7:00,1.045138889,25.08333333,0.672222222,16.13333333
32,7/24/2024,13:45,S,Y,M,83,LG,22:40,7:00AM,7/25/2024,7:00,7/24/2024 13:45,7/24/2024 22:40,7/25/2024 7:00,0.71875,17.25,0.347222222,8.333333333
33,7/24/2024,12:00,S,Y,M,75.2,SM,21:02,7:00AM,7/25/2024,7:00,7/24/2024 12:00,7/24/2024 21:02,7/25/2024 7:00,0.791666667,19,0.415277778,9.966666667
34,7/24/2024,7:45,S,Y,F,100.2,LG,16:20,7:00AM,7/25/2024,7:00,7/24/2024 7:45,7/24/2024 16:20,7/25/2024 7:00,0.96875,23.25,0.611111111,14.66666667
35,7/24/2024,7:20,S,Y,F,75.2,SM,15:50,7:00AM,7/25/2024,7:00,7/24/2024 7:20,7/24/2024 15:50,7/25/2024 7:00,0.986111111,23.66666667,0.631944444,15.16666667
36,7/23/2024,12:02,S,Y,M,100.2,LG,21:10,7:00AM,7/24/2024,7:00,7/23/2024 12:02,7/23/2024 21:10,7/24/2024 7:00,0.790277778,18.96666667,0.409722222,9.833333333
37,7/23/2024,11:50,S,Y,M,75,SM,20:55,7:00AM,7/24/2024,7:00,7/23/2024 11:50,7/23/2024 20:55,7/24/2024 7:00,0.798611111,19.16666667,0.420138889,10.08333333
38,7/23/2024,9:30,S,Y,,89.6,LG,18:48,7:00AM,7/24/2024,7:00,7/23/2024 9:30,7/23/2024 18:48,7/24/2024 7:00,0.895833333,21.5,0.508333333,12.2
39,7/23/2024,7:00,S,Y,F,88,LG,16:10,7:00AM,7/24/2024,7:00,7/23/2024 7:00,7/23/2024 16:10,7/24/2024 7:00,1,24,0.618055556,14.83333333
40,7/22/2024,13:45,S,Y,M,93.4,LG,22:30,7:00AM,7/23/2024,7:00,7/22/2024 13:45,7/22/2024 22:30,7/23/2024 7:00,0.71875,17.25,0.354166667,8.5
41,7/22/2024,8:40,S,Y,M,80.6,LG,17:25,7:00AM,7/23/2024,7:00,7/22/2024 8:40,7/22/2024 17:25,7/23/2024 7:00,0.930555556,22.33333333,0.565972222,13.58333333
42,7/22/2024,7:00,S,Y,F,82.6,LG,16:18,7:00AM,7/23/2024,7:00,7/22/2024 7:00,7/22/2024 16:18,7/23/2024 7:00,1,24,0.6125,14.7
43,7/18/2024,12:00,S,Y,F,86,LG,21:00,7:00AM,7/19/2024,7:00,7/18/2024 12:00,7/18/2024 21:00,7/19/2024 7:00,0.791666667,19,0.416666667,10
44,7/18/2024,8:35,T,Y,M,96.3,LG,18:08,7:00AM,7/19/2024,7:00,7/18/2024 8:35,7/18/2024 18:08,7/19/2024 7:00,0.934027778,22.41666667,0.536111111,12.86666667
45,7/18/2024,8:00,T,Y,M,96.2,LG,16:45,7:00AM,7/19/2024,7:00,7/18/2024 8:00,7/18/2024 16:45,7/19/2024 7:00,0.958333333,23,0.59375,14.25
46,7/17/2024,6:50,S,Y,F,79.6,SM,15:51,7:00AM,7/18/2024,7:00,7/17/2024 6:50,7/17/2024 15:51,7/18/2024 7:00,1.006944444,24.16666667,0.63125,15.15
47,7/16/2024,13:30,S,Y,F,110.2,LG,22:22,7:00AM,7/17/2024,7:00,7/16/2024 13:30,7/16/2024 22:22,7/17/2024 7:00,0.729166667,17.5,0.359722222,8.633333333
48,7/16/2024,11:18,S,N,M,102.2,LG,20:32,7:00AM,7/17/2024,7:00,7/16/2024 11:18,7/16/2024 20:32,7/17/2024 7:00,0.820833333,19.7,0.436111111,10.46666667
49,7/16/2024,10:40,S,Y,F,83.2,LG,20:03,7:00AM,7/17/2024,7:00,7/16/2024 10:40,7/16/2024 20:03,7/17/2024 7:00,0.847222222,20.33333333,0.45625,10.95
